"routes3.shipmentorigindesc";"routes3.Latitude.x";"routes3.Longitude.x";"routes3.shipmentdestinationdesc";"routes3.Latitude.y";"routes3.Longitude.y"
"1095";"MSD Haarlem";52.387388;4.646219;"AUSTRALIA - MSD South Granville";-33.857722;151.010751
"1097";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Austria";47.516231;14.550072
"1098";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Austria";47.516231;14.550072
"1100";"FRANCE - Herouville Saint Clair";48.86666667;2.333333;"Austria";47.516231;14.550072
"1102";"MSD Haarlem";52.387388;4.646219;"Austria";47.516231;14.550072
"1104";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Austria";47.516231;14.550072
"1132";"Cramlington UK";55.086136;-1.5808;"Austria";47.516231;14.550072
"1210";"USA - FL Miami Lakes";25.908706;-80.308662;"Austria";47.516231;14.550072
"1237";"Mirabel France";44.144405;1.419822;"Austria";47.516231;14.550072
"1284";"INDONESIA - MSD Indonesia Pandaan";-6.166666667;106.816667;"Austria";47.516231;14.550072
"1298";"NETHERLANDS - MSD Oss";51.76118;5.514048;"AUSTRIA - MSD Vienna";48.208174;16.373819
"1300";"MSD Haarlem";52.387388;4.646219;"AUSTRIA - MSD Vienna";48.208174;16.373819
"1303";"IRELAND - MSD Swords";53.31666667;-6.233333;"AUSTRIA - MSD Vienna";48.208174;16.373819
"1310";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"AUSTRIA - MSD Vienna";48.208174;16.373819
"1312";"Mirabel France";44.144405;1.419822;"AUSTRIA - MSD Vienna";48.208174;16.373819
"1330";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"AUSTRIA - MSD Wien-Floridsdorf";48.27658;16.409027
"1334";"NETHERLANDS - MSD Oss";51.76118;5.514048;"AUSTRIA - MSD Wien-Floridsdorf";48.27658;16.409027
"1355";"Mirabel France";44.144405;1.419822;"AUSTRIA - MSD Wien-Floridsdorf";48.27658;16.409027
"1367";"Cramlington UK";55.086136;-1.5808;"AUSTRIA - MSD Wien-Floridsdorf";48.27658;16.409027
"1374";"USA - GA Suwanee OFC";34.05149;-84.0713;"Bahamas";25.08333333;-77.35
"1375";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Bahamas";25.08333333;-77.35
"1380";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Bahrain";26.23333333;50.566667
"1384";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Bahrain";26.23333333;50.566667
"1412";"MSD Haarlem";52.387388;4.646219;"Bahrain";26.23333333;50.566667
"1431";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Bahrain";26.23333333;50.566667
"1539";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Bangladesh";23.71666667;90.4
"1544";"West Point - Bldg 56";40.209052;-75.296471;"Bangladesh";23.71666667;90.4
"1548";"MSD Haarlem";52.387388;4.646219;"Bangladesh";23.71666667;90.4
"1555";"IRELAND - MSD Swords";53.31666667;-6.233333;"Belarus";53.709807;27.953389
"1557";"IRELAND - MSD Swords";53.31666667;-6.233333;"Belgium";50.97939;4.57598
"1558";"MSD Haarlem";52.387388;4.646219;"Belgium";50.97939;4.57598
"1560";"USA - FL Miami Lakes";25.908706;-80.308662;"Belgium";50.97939;4.57598
"1561";"FRANCE - Herouville Saint Clair";48.86666667;2.333333;"Belgium";50.97939;4.57598
"1563";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Belgium";50.97939;4.57598
"1566";"SWITZERLAND  (Planzer Transport AG) Pratteln";46.91666667;7.466667;"Belgium";50.97939;4.57598
"1592";"Ballydine IRL";53.31666667;-6.233333;"Belgium";50.97939;4.57598
"1597";"MSD Singapore West";1.283333333;103.85;"Belgium";50.97939;4.57598
"1602";"Las Piedras";-34.85;-56.166667;"Belgium";50.97939;4.57598
"1625";"Brinny Ireland";51.790157;-8.703297;"Belgium";50.97939;4.57598
"1628";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Belgium";50.97939;4.57598
"1648";"Mirabel France";44.144405;1.419822;"Belgium";50.97939;4.57598
"1675";"Rahway NJ";40.608159;-74.277647;"Belgium";50.97939;4.57598
"1741";"NETHERLANDS - MSD Oss";51.76118;5.514048;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1751";"CANADA - (Bayer) Pointe-Claire";45.41666667;-75.7;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1755";"MSD Haarlem";52.387388;4.646219;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1815";"MSD Singapore West";1.283333333;103.85;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1847";"Mirabel France";44.144405;1.419822;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1869";"Wilson NC";35.721269;-77.91554;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1873";"NETHERLANDS - MSD Oss BT (BioTech)";51.76118;5.514048;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1895";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1919";"USA - FL Miami Lakes";25.908706;-80.308662;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"1923";"UK  (AstraZeneca) Macclesfield";51.5;-0.083333;"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598
"2109";"MSD Singapore West";1.283333333;103.85;"BELGIUM - Hulshout Heist-Op-Den-Berg";51.339918;3.239687
"2111";"Brinny Ireland";51.790157;-8.703297;"BELGIUM - Hulshout Heist-Op-Den-Berg";51.339918;3.239687
"2112";"MSD Singapore South";1.283333333;103.85;"BELGIUM - Hulshout Heist-Op-Den-Berg";51.339918;3.239687
"2114";"Ballydine IRL";53.31666667;-6.233333;"BELGIUM - Hulshout Heist-Op-Den-Berg";51.339918;3.239687
"2116";"Las Piedras";-34.85;-56.166667;"BELGIUM - Hulshout Heist-Op-Den-Berg";51.339918;3.239687
"2117";"NETHERLANDS - MSD Oss";51.76118;5.514048;"BELGIUM - Hulshout Heist-Op-Den-Berg";51.339918;3.239687
"2134";"Carlow IRL";53.31666667;-6.233333;"BELGIUM - Hulshout Heist-Op-Den-Berg";51.339918;3.239687
"2153";"Wilson NC";35.721269;-77.91554;"BELGIUM - Hulshout Heist-Op-Den-Berg";51.339918;3.239687
"2165";"West Point - Bldg 56";40.209052;-75.296471;"Bermuda";32.28333333;-64.783333
"2169";"Duluth OFC";46.786672;-92.100485;"Bermuda";32.28333333;-64.783333
"2170";"USA - GA Suwanee OFC";34.05149;-84.0713;"BERMUDA";32.28333333;-64.783333
"2175";"Duluth OFC";46.786672;-92.100485;"BERMUDA";32.28333333;-64.783333
"2176";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Bolivia";-16.5;-68.15
"2177";"MSD Haarlem";52.387388;4.646219;"Bolivia";-16.5;-68.15
"2182";"NETHERLANDS - (Aspen Pharma) Oss";52.35;4.916667;"Brazil";-15.78333333;-47.916667
"2183";"IRELAND - MSD Swords";53.31666667;-6.233333;"Brazil";-15.78333333;-47.916667
"2184";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Brazil";-15.78333333;-47.916667
"2187";"MSD Haarlem";52.387388;4.646219;"Brazil";-15.78333333;-47.916667
